gene,neonatal_OPCs_Mean,adult_OPCs_Mean,adult_oligodendrocytes_Mean
Sfrs2,2487.631818,2854.501541,3355.746052
EG667449,256.9392445,351.5387293,1409.271712
Ctnna2,276.7681061,335.8356161,337.3822202
Gm6124,189.1583291,204.5529184,196.7377055
2810408P10Rik,245.9161045,313.7614755,393.361855
Dnajc2,548.2148406,562.3523855,598.9597232
Fam162a,3576.727626,2025.46423,1889.300485
Cobra1,4457.523073,5335.723166,4180.827699
0,208.6772542,232.0416643,248.9259093
Zfp51,300.522607,342.9807791,370.2700986
Gm9856,256.7467621,293.0716402,304.3529361
2610306M01Rik,308.0849812,565.4792691,584.0341366
Tcea1,301.1337436,439.4182111,490.1992959
Dlst,2078.064477,2410.03206,2356.374267
1700113I22Rik,322.2472488,234.2718702,213.5832614
4930562F17Rik,192.64632,202.0499966,202.2562207
36951,433.7647964,831.2977848,779.9677878
Ttc34,245.0810215,310.1708157,287.304582
Lrrc1,3648.556218,417.9928532,661.4859818
Pdzrn4,696.3350812,230.5153798,206.1992382
0,189.5847245,227.7717257,207.0344966
Actr1a,13295.5506,26848.72951,27166.14503
Polr2i,9214.007321,7019.379166,6596.72148
C2cd2l,3599.422144,6903.147441,5840.862686
Sar1a,11868.45518,8050.419727,7481.723475
Rc3h2,1454.317729,1241.274385,1367.848365
Phtf1,1405.272244,1015.412752,920.9282109
A930005G22Rik,234.3841448,249.3372032,210.4578355
C80998,220.8765815,209.8263448,196.0351998
Ramp3,763.7687752,246.2168005,220.3949302
1700123O12Rik,230.0062091,185.7168747,208.6605595
Tmem220,266.3189939,244.651531,238.7261261
4921513D23Rik,255.7679533,297.8896091,384.1020816
Il4,210.0737956,214.6208365,223.025962
Tcl1b5,230.9009952,217.7624786,225.1296648
Esyt3,248.1703712,245.801632,268.1809941
Olfr539,222.1276842,206.4237256,201.9739457
Nid2,2656.192688,213.7934102,220.5196827
Nfatc1,336.4090964,226.8856568,216.949927
Btbd10,1851.788052,1666.892455,1436.624969
Hmox2,1853.228352,7623.861709,7590.415686
Eps15,585.9496258,1938.92738,3022.180691
Zfp790,579.6332167,769.0492195,788.8116118
Trnau1ap,830.1671409,745.0351023,659.5749745
0,222.4347888,200.8049384,201.0452423
Dsp,229.5997532,216.1278545,220.2537407
0,323.0033764,362.5375957,335.5259298
Cby1,350.8165909,357.5094184,365.1569117
0,286.3751206,211.7890323,284.700657
Gm5588,277.1651591,198.9118357,208.9739085
Olfr373,232.2296003,196.0055395,200.1498627
Tnfrsf1a,2384.236643,420.1409687,250.1962338
Grwd1,358.8896291,339.4797592,336.5911461
LOC100044058,289.7971515,197.1345284,196.1247236
4931407G18Rik,246.4140523,227.0222919,212.017707
Odf4,289.2905206,204.8945927,230.7592339
Msi1,409.5869779,216.5281805,240.2340516
B230308N11Rik,383.9387412,297.9270232,278.61313
Rec8,616.2988652,499.6421425,488.1487168
Mecp2,1885.204966,2467.828008,2766.610543
Lrrk2,660.9944712,235.7998948,261.6385166
Ppapdc1a,459.2298621,251.8042623,231.0370673
Fam76b,752.3110042,708.6635479,586.170702
3110057O12Rik,448.6489024,450.9769607,453.8369511
Smek2,776.9509412,747.3381352,1355.295484
Zc3h18,5596.108933,3892.290257,3284.74106
Zfp433,732.3295258,502.2594668,510.1974045
V1rg9,237.9282226,226.5666049,230.8854244
Atp5g2,38791.69255,37869.66055,35272.68912
Nme6,515.1519518,527.5008641,426.0037105
41883,279.1835252,209.8311207,206.3671025
Gm6938,287.881807,228.7069773,219.7526964
Obox3,293.7000561,212.0941184,218.1779586
Armcx5,976.9257676,705.4570909,615.8571611
LOC100039225,289.9665545,730.0058014,263.0994109
Morn5,349.7268776,274.6642032,328.6823816
Parl,521.592963,600.9454755,583.0752695
Olfr345,262.6287852,212.1343539,264.5223251
Ndufa5,3312.602662,3796.614483,3638.645828
Lin9,489.9750212,262.7955818,275.7803573
Gm2287,293.96781,209.3611305,219.7398825
Mbd3l2,303.4139136,206.9848741,204.975778
Gm16462,287.2451635,237.5500732,226.8282984
Zic2,2483.406718,261.4518857,227.0228548
Zfp68,564.9223712,381.9863895,380.655427
Pdgfra,9622.304137,348.0335517,198.8646088
0,311.47938,265.8959409,230.1365468
Sgip1,250.8783779,227.2446088,224.8016714
Gm16391,432.1839655,456.0245277,456.7419377
Rnps1,279.1190761,286.0908302,266.0251916
Slc7a14,331.2756809,241.0894618,234.0477025
Krtap5-5,265.9984821,291.5909059,262.7339923
Rps17,41347.18565,31879.58377,34950.75768
Gm4888,429.8973818,581.5640666,598.9976825
0,230.4513664,220.7820616,270.6428407
Fnd3c2,234.7935609,211.2345032,230.2486423
Afg3l2,1095.574837,683.3219566,619.5980934
Gm6434,6226.761988,6577.95033,7134.811309
Lrrc14b,260.9983258,240.4095298,224.149247
0,237.3744648,211.938655,212.2821593
Lifr,330.7780303,459.8187125,582.9114598
Lrrfip2,541.0446691,543.8241255,668.7900595
Klra5,231.808537,214.5680935,216.5544549
Mysm1,755.7050427,724.212758,638.3858155
Clns1a,594.0755084,776.7610318,860.0166019
Olfr411,239.8935482,229.5219302,217.4769134
