gene,h4_mean,h24_mean,h48_mean,h72_mean,d7_mean,d21_mean,d28_mean
Gabbr1,824.7262323,709.4463367,584.7870071,643.2420114,590.7354094,994.6870588,744.4802712
Ocln,192.7529352,162.6582661,141.879702,187.1568789,165.5016251,153.7151756,157.9044863
Jtb,568.8447426,654.5854758,735.7551794,732.8554665,703.0024664,610.9580166,694.9155381
Per2,103.890879,74.5643651,57.83070307,65.98082958,87.70133166,93.16493074,110.138419
Asl,477.8127817,471.1460051,533.5582133,388.3922772,395.9702191,511.7388912,438.5382255
Dhcr7,671.2133494,583.8200756,491.5246201,581.8003835,477.8431616,542.0657495,588.8902409
Dhcr7,701.5994658,608.9100763,456.4228911,472.346282,521.6375385,571.8259781,682.395688
S1pr2,378.2384196,322.0101701,332.8813414,313.8433115,274.2776397,307.1008551,285.7537066
Foxa3,95.16002539,70.15331874,78.11405846,69.97368065,66.3221409,78.04685661,72.01587638
Foxa3,73.8455438,59.18483883,79.05506654,54.38306751,57.47789311,74.19528078,66.41835299
#N/A,249.9009967,190.9238211,125.7967316,151.4245207,166.6826059,189.1888415,162.3516492
#N/A,297.8210268,259.5752855,224.960402,210.2800146,256.1797239,258.1148998,259.1288874
Slit1,353.832268,284.7867742,305.9293553,236.5626737,238.3296775,333.6110268,263.6359931
Psmd4,634.5417715,682.2561598,705.2935095,458.0974344,489.2155022,796.489753,537.0283745
Psmd4,1793.736554,2179.974121,2191.213352,1265.154601,1463.005517,2421.374014,1581.321006
Slc22a5,275.1814906,276.7485639,267.223366,296.517736,386.0755651,341.6468629,411.752653
Pex14,883.7791962,894.6271627,937.2800669,902.2446625,891.6367486,824.7680929,784.9648944
Pex14,989.7874097,1059.597751,996.3106631,1033.165255,1093.507694,1009.629048,1024.727982
Enpp1,93.65858016,89.96758852,81.39169782,111.5510202,93.39227975,71.09221414,78.28707938
Chrm2,54.79392953,52.76427421,44.14282197,57.35669027,51.98286127,44.93503715,45.61528749
Chrm3,108.3935755,103.3604118,92.45478288,121.8716146,107.1807795,80.01004124,98.31618999
Polr2f,502.932463,786.3037828,708.0128467,684.5075244,765.7782698,592.7308629,747.9485483
Kl,166.5109559,173.1092151,144.7899485,185.2202613,168.763923,121.9584519,154.8415721
Smad2,239.0388197,336.903084,283.6730054,416.1010612,359.0673055,204.9215643,339.1062155
Smad2,534.3532184,714.6463694,560.8230089,813.3705454,764.5149728,394.38656,695.6312217
St3gal5,934.2398842,969.4369541,1152.697676,1194.530388,1601.897684,1245.796821,1426.409311
Camkk2,97.07052896,91.8754453,81.53451797,95.41143101,94.94621191,76.72983637,85.09695913
Olr1,43.14941771,35.1972459,31.84031711,43.53518635,32.98962005,30.48091216,31.09891399
Rgs9,309.7506563,294.569522,266.115458,320.7494888,293.5256728,233.6950002,272.9195265
Myoc,708.7810532,492.2647482,417.3512285,442.1195497,450.2474919,601.1942154,706.0812435
Timeless,72.94328517,84.65990905,98.63800241,98.99202372,87.4965212,54.50400542,67.23414197
Glyatl2,22.17274936,18.92056359,18.84198686,21.11198291,18.92852592,19.0150392,18.80709467
#N/A,127.9853583,101.004412,92.9479299,124.1577386,101.8986961,88.31086721,90.23316015
AABR07012054.1,176.6012907,147.4251162,90.85439822,161.6503361,122.3455977,124.5277101,117.3655228
AABR07012054.1,228.3042756,212.2626279,111.9815032,221.6544793,154.2749621,153.8615731,158.0143561
Homer3,138.2066056,121.7033636,124.7810591,116.0686318,115.9944293,128.9660471,118.4086588
#N/A,93.01124893,76.44852587,68.51172847,85.33046587,73.86512811,71.35495187,93.77838831
Hnrnpf,1050.582105,1264.625673,945.1702335,1216.738534,1195.207851,658.3722961,1187.98407
Cntnap1,797.7830403,655.6213258,645.6557609,553.6129244,583.0063449,850.7066754,750.9825192
Cyp27b1,179.3330756,138.5762822,128.8912445,150.8812907,119.0840705,121.3572232,110.0504561
