gene,Human_GBM_peritumor_astrocytes,Human_sclerotic_hippocampi_astrocytes,Human_fetal_astrocytes,Human_mature_astrocytes
ADCYAP1R1,8.7191775,8.504975,9.613128333,30.73171667
ADD1,7.840595,15.27204,12.31585,16.02496583
ADD2,2.123555,1.1473735,14.49763333,0.279602667
ADD3,33.287275,63.066475,7.846376667,111.088775
ADGB,0.08884585,0.155270775,0.267160433,0.1
ADH1A,0.096267025,0.1,0.1,0.1
ADH1B,0.07733096,0.1,0.08443977,0.1
ADH1C,0.1,0.1,0.1,0.1
ADH4,0.0896868,0.085482875,0.501247,0.154077083
ADH5,13.4034975,11.0628075,10.25529833,22.73599167
ADH6,0.07827435,0.081506475,0.514871217,0.137298417
ADH7,0.081087975,0.1,0.1,0.1
ADHFE1,1.5259735,7.35616,3.131211667,12.67868333
ADI1,7.422445,11.69406,1.674071667,20.7460175
ADIG,0.1,0.10729925,0.1,0.107864583
ADIPOQ,0.057117075,0.1,0.1,0.1
ADIPOR1,18.3026,21.867325,7.331868333,15.89238
ADIPOR2,2.414185,12.6854225,6.676663333,3.808359167
ADK,9.250405,5.41262,6.994591667,7.720376667
ADM,18.330215,2.5086475,0.129683,4.854764083
ADM2,0.084051,0.1,0.385624333,0.1
ADNP,15.844425,11.6453725,29.53136667,12.3378975
ADNP2,2.18119675,3.3521075,4.856473333,2.836789167
ADO,2.948542275,7.685745,1.303886667,1.689165
ADORA1,1.23295475,1.685634,0.3656715,1.426554917
ADORA2A,0.085526675,0.0904222,0.494664667,0.1
ADORA2B,2.09482325,3.35772975,2.085936667,13.61092417
ADORA3,0.55837975,15.370605,0.117166333,2.442451417
ADPGK,2.8491125,3.6752775,3.12161,2.291114167
ADPRH,1.1452525,0.97271075,0.101122,0.186494083
ADPRHL1,0.2296503,0.16652965,0.112953,0.247114917
ADPRHL2,0.751467,1.62531025,3.027348333,0.7507365
ADRA1A,0.263893075,0.683645,0.446784,1.449959917
ADRA1B,0.0860365,0.14598355,0.310880667,0.425124583
ADRA1D,0.588373,0.1,0.1,0.104450167
ADRA2A,0.189268975,0.133689625,1.424668833,0.484422417
ADRA2B,0.10895,0.0679663,0.1,0.1
ADRA2C,0.1,0.070996825,0.4777,0.1
ADRB1,0.60336675,2.54304125,0.332978117,4.907393333
ADRB2,0.85686425,4.6327075,0.966871667,5.678623333
ADRB3,0.1,0.1,0.1,0.1
ADRBK1,0.108755,0.15313995,0.704684333,0.117434417
ADRBK2,0.5102775,1.07673525,0.778737,2.024
